CustomerKey,CustomerID,FirstName,LastName,CustomerSegment,CreditScore,RiskBand,HomeBranchKey,RelationshipStartYear,State
40,CUST000040,Wei,Jones,Mass Market,713,Medium,20,2019,MA
41,CUST000041,Raj,Williams,Mass Market,662,Medium,1,2020,MA
42,CUST000042,Noah,Brown,Mass Market,685,Medium,5,2024,AZ
43,CUST000043,Liam,Rodriguez,Mass Market,590,High,9,2018,WA
44,CUST000044,Linda,Lopez,Mass Market,762,Low,19,2016,TX
45,CUST000045,Olivia,Murphy,High Net Worth,761,Low,20,2022,NC
46,CUST000046,James,Ali,Affluent,672,Medium,36,2023,IL
47,CUST000047,Robert,Rodriguez,Mass Market,675,Medium,8,2016,CA
48,CUST000048,Robert,Rodriguez,Mass Market,660,Medium,19,2023,NC
49,CUST000049,Ethan,Hernandez,Small Business,737,Medium,14,2018,IL
50,CUST000050,Sofia,Rodriguez,High Net Worth,820,Low,4,2023,CA
51,CUST000051,David,Johnson,Affluent,801,Low,1,2021,WA
52,CUST000052,Lucas,Rodriguez,High Net Worth,786,Low,11,2017,MA
53,CUST000053,Ethan,Wilson,Mass Market,672,Medium,36,2023,NY
54,CUST000054,John,Murphy,Mass Market,664,Medium,10,2016,AZ
55,CUST000055,Jose,Chen,Affluent,620,High,36,2015,TX
56,CUST000056,Robert,Johnson,Mass Market,714,Medium,20,2021,WA
57,CUST000057,Jose,Miller,Mass Market,721,Medium,16,2015,CA
58,CUST000058,Raj,Kim,Mass Market,678,Medium,27,2020,NC
59,CUST000059,Linda,Garcia,Mass Market,623,High,12,2017,GA
60,CUST000060,Jennifer,Cook,Small Business,787,Low,22,2015,GA
61,CUST000061,David,Garcia,Small Business,708,Medium,7,2018,GA
62,CUST000062,Sofia,Davis,Mass Market,572,High,13,2015,MA
63,CUST000063,Elizabeth,Davis,Mass Market,697,Medium,15,2020,NY
64,CUST000064,Wei,Hernandez,Mass Market,659,High,18,2018,CA
65,CUST000065,Jose,Khan,Mass Market,723,Medium,33,2019,GA
66,CUST000066,Maria,Smith,Mass Market,671,Medium,8,2023,IL
67,CUST000067,Noah,Rodriguez,Mass Market,713,Medium,3,2017,CA
68,CUST000068,Priya,Lopez,Mass Market,689,Medium,21,2024,GA
69,CUST000069,Liam,Brown,Affluent,705,Medium,25,2024,NC
70,CUST000070,David,Johnson,Affluent,774,Low,28,2018,NY
71,CUST000071,Mei,Kim,Mass Market,788,Low,13,2023,WA
72,CUST000072,John,Ali,Mass Market,787,Low,22,2021,NC
73,CUST000073,Ava,Brown,Mass Market,655,High,20,2020,AZ
74,CUST000074,Ava,Wilson,Mass Market,754,Low,21,2019,GA
75,CUST000075,Olivia,Jones,Mass Market,809,Low,13,2019,GA
76,CUST000076,Ava,Cook,Mass Market,751,Low,12,2021,NC
77,CUST000077,Elizabeth,Gonzalez,Mass Market,735,Medium,36,2024,NY
78,CUST000078,Elizabeth,Miller,Mass Market,604,High,28,2019,NC
79,CUST000079,Lucas,Hernandez,Affluent,767,Low,30,2024,MA
80,CUST000080,Ava,Miller,Mass Market,678,Medium,33,2022,MA
81,CUST000081,Ava,Williams,Mass Market,665,Medium,19,2017,AZ
82,CUST000082,Maria,Williams,Affluent,765,Low,16,2024,IL
83,CUST000083,Mei,Miller,Affluent,801,Low,10,2018,NY
84,CUST000084,Linda,Patel,Mass Market,850,Low,40,2015,CA
85,CUST000085,Priya,Khan,Mass Market,589,High,37,2022,FL
86,CUST000086,Sofia,Gonzalez,Mass Market,773,Low,16,2021,TX
87,CUST000087,Raj,Brown,Affluent,767,Low,28,2015,FL
88,CUST000088,Mei,Murphy,Mass Market,775,Low,34,2017,MA
89,CUST000089,Olivia,Davis,Mass Market,705,Medium,8,2015,MA
90,CUST000090,Mei,Anderson,Mass Market,749,Low,34,2017,AZ
91,CUST000091,Maria,Anderson,Mass Market,702,Medium,40,2024,AZ
92,CUST000092,Olivia,Anderson,Affluent,685,Medium,11,2021,MA
93,CUST000093,David,Davis,Affluent,773,Low,18,2022,AZ
94,CUST000094,Lucas,Davis,Mass Market,623,High,18,2022,MA
95,CUST000095,Ethan,Martinez,Mass Market,743,Low,16,2016,IL
96,CUST000096,Maria,Kim,Affluent,797,Low,6,2020,TX
97,CUST000097,Linda,Gonzalez,Affluent,700,Medium,10,2017,FL
98,CUST000098,Priya,Wilson,Mass Market,700,Medium,22,2016,AZ
99,CUST000099,Priya,Johnson,Mass Market,751,Low,14,2022,GA
100,CUST000100,Raj,Chen,Affluent,729,Medium,2,2021,NC
101,CUST000101,Sofia,Smith,Affluent,850,Low,23,2021,IL
102,CUST000102,Priya,Kim,Mass Market,696,Medium,35,2021,NC
103,CUST000103,Sofia,Davis,Mass Market,622,High,18,2018,GA
104,CUST000104,James,Gonzalez,Mass Market,758,Low,22,2022,GA
105,CUST000105,Ahmed,Jones,Affluent,734,Medium,40,2017,AZ
106,CUST000106,Wei,Chen,Small Business,750,Low,37,2015,NY
107,CUST000107,Lucas,Wilson,Small Business,685,Medium,9,2016,MA
108,CUST000108,Mary,Rodriguez,Mass Market,744,Low,25,2017,WA
109,CUST000109,Ahmed,Hernandez,Affluent,698,Medium,22,2018,GA
110,CUST000110,Raj,Wilson,Mass Market,654,High,17,2019,CA
111,CUST000111,James,Cook,Small Business,744,Low,35,2022,NY
112,CUST000112,Linda,Khan,Mass Market,813,Low,5,2020,NY
113,CUST000113,Linda,Miller,Mass Market,764,Low,2,2015,NC
114,CUST000114,Linda,Jones,Affluent,742,Low,31,2017,CA
115,CUST000115,Michael,Anderson,Affluent,696,Medium,17,2024,WA
116,CUST000116,Emma,Singh,Mass Market,786,Low,8,2017,TX
117,CUST000117,Patricia,Chen,Affluent,753,Low,2,2019,IL
118,CUST000118,Ava,Gonzalez,High Net Worth,789,Low,26,2024,FL
119,CUST000119,Noah,Murphy,Mass Market,790,Low,16,2016,CA
120,CUST000120,Ava,Singh,Affluent,740,Low,8,2019,NC
121,CUST000121,Jose,Kim,Affluent,750,Low,28,2015,WA
122,CUST000122,Liam,Khan,Mass Market,702,Medium,22,2016,NY
123,CUST000123,Sofia,Brown,Mass Market,701,Medium,28,2021,WA
124,CUST000124,Ethan,Jones,Mass Market,630,High,28,2022,TX
125,CUST000125,Lucas,Rodriguez,Mass Market,564,High,40,2023,AZ
126,CUST000126,Ahmed,Wilson,Mass Market,715,Medium,38,2022,IL
127,CUST000127,Linda,Williams,Mass Market,627,High,18,2020,MA
128,CUST000128,Raj,Anderson,Mass Market,666,Medium,37,2018,NC
129,CUST000129,Maria,Smith,Affluent,764,Low,32,2021,WA
130,CUST000130,Sofia,Miller,Mass Market,601,High,23,2017,IL
131,CUST000131,David,Singh,Mass Market,850,Low,18,2020,AZ
132,CUST000132,Liam,Miller,Affluent,822,Low,6,2015,FL
133,CUST000133,Sofia,Kim,Affluent,740,Low,16,2021,MA
134,CUST000134,Ahmed,Smith,Mass Market,720,Medium,6,2022,IL
135,CUST000135,Wei,Murphy,Affluent,719,Medium,16,2018,IL
136,CUST000136,Jose,Patel,Mass Market,573,High,36,2024,AZ
137,CUST000137,Priya,Cook,Mass Market,635,High,36,2020,WA
138,CUST000138,Ethan,Anderson,Mass Market,806,Low,18,2020,IL
139,CUST000139,Linda,Brown,Mass Market,712,Medium,13,2019,WA
140,CUST000140,Isabella,Kim,Affluent,667,Medium,12,2016,FL
141,CUST000141,Isabella,Patel,Affluent,756,Low,18,2018,NC
142,CUST000142,Emma,Martinez,Mass Market,805,Low,7,2023,FL
143,CUST000143,Linda,Lopez,Mass Market,638,High,12,2019,IL
144,CUST000144,Ethan,Kim,Affluent,682,Medium,9,2015,IL
145,CUST000145,Mary,Kim,Mass Market,673,Medium,19,2015,TX
146,CUST000146,Patricia,Smith,Mass Market,821,Low,37,2022,IL
147,CUST000147,Sofia,Anderson,Mass Market,599,High,22,2022,TX
148,CUST000148,David,Patel,Mass Market,682,Medium,8,2015,CA
149,CUST000149,Sofia,Williams,Mass Market,798,Low,37,2021,NY
150,CUST000150,Robert,Chen,Mass Market,782,Low,20,2017,CA
151,CUST000151,Patricia,Kim,Mass Market,694,Medium,27,2018,NC
152,CUST000152,Mei,Singh,Affluent,845,Low,15,2024,AZ
153,CUST000153,Ahmed,Anderson,Affluent,730,Medium,20,2021,NC
154,CUST000154,Elizabeth,Chen,Mass Market,694,Medium,40,2021,NY
155,CUST000155,Isabella,Brown,Small Business,605,High,14,2024,FL
156,CUST000156,Ava,Williams,Affluent,797,Low,11,2019,FL
157,CUST000157,Olivia,Williams,Mass Market,738,Medium,11,2017,NY
158,CUST000158,Ahmed,Murphy,Mass Market,694,Medium,39,2021,MA
159,CUST000159,Mary,Davis,Small Business,683,Medium,19,2019,IL
160,CUST000160,John,Ali,Mass Market,704,Medium,15,2022,IL
161,CUST000161,Ava,Miller,Affluent,711,Medium,28,2024,CA
162,CUST000162,Linda,Khan,Affluent,724,Medium,10,2023,IL
163,CUST000163,John,Johnson,Affluent,756,Low,11,2017,IL
164,CUST000164,Isabella,Chen,Affluent,766,Low,19,2024,MA
165,CUST000165,Ahmed,Murphy,Mass Market,728,Medium,20,2016,GA
166,CUST000166,Liam,Kim,Affluent,708,Medium,32,2019,MA
167,CUST000167,Emma,Johnson,Small Business,611,High,28,2016,WA
168,CUST000168,David,Smith,Affluent,685,Medium,6,2024,FL
169,CUST000169,Noah,Smith,Mass Market,798,Low,18,2024,NC
170,CUST000170,Raj,Garcia,Affluent,720,Medium,31,2015,AZ
171,CUST000171,David,Garcia,Mass Market,690,Medium,38,2022,GA
172,CUST000172,John,Patel,Affluent,781,Low,23,2022,GA
173,CUST000173,Maria,Ali,Mass Market,673,Medium,7,2020,TX
174,CUST000174,Priya,Murphy,Mass Market,749,Low,32,2020,IL
175,CUST000175,Raj,Kim,High Net Worth,770,Low,3,2021,MA
176,CUST000176,Maria,Rodriguez,Small Business,676,Medium,21,2016,CA
177,CUST000177,Liam,Smith,Small Business,815,Low,35,2021,MA
178,CUST000178,Mary,Miller,Mass Market,764,Low,34,2021,WA
179,CUST000179,Raj,Patel,Mass Market,774,Low,29,2024,NY
180,CUST000180,David,Kim,Affluent,686,Medium,9,2018,IL
181,CUST000181,Ethan,Patel,Affluent,708,Medium,8,2022,NY
182,CUST000182,Mei,Davis,Mass Market,689,Medium,11,2024,IL
183,CUST000183,James,Kim,Mass Market,668,Medium,27,2023,CA
184,CUST000184,Patricia,Anderson,Mass Market,746,Low,8,2018,TX
185,CUST000185,Ethan,Martinez,Mass Market,732,Medium,33,2022,IL
186,CUST000186,Sofia,Patel,Mass Market,785,Low,16,2021,MA
187,CUST000187,Robert,Gonzalez,Mass Market,659,High,13,2023,NC
188,CUST000188,Isabella,Jones,Affluent,749,Low,5,2023,IL
189,CUST000189,Maria,Nguyen,Affluent,791,Low,18,2021,NY
190,CUST000190,Isabella,Martinez,Small Business,683,Medium,38,2019,NC
191,CUST000191,Robert,Anderson,Small Business,673,Medium,35,2022,MA
192,CUST000192,Maria,Kim,Mass Market,785,Low,35,2020,GA
193,CUST000193,Maria,Miller,Affluent,648,High,16,2022,NC
194,CUST000194,Linda,Wilson,High Net Worth,834,Low,3,2021,WA
195,CUST000195,Ethan,Gonzalez,Mass Market,668,Medium,25,2022,TX
196,CUST000196,Mary,Jones,Mass Market,689,Medium,33,2022,NC
197,CUST000197,Patricia,Anderson,Mass Market,778,Low,7,2020,AZ
198,CUST000198,James,Cook,Mass Market,743,Low,10,2022,GA
199,CUST000199,John,Patel,Small Business,630,High,17,2017,WA
200,CUST000200,Ethan,Gonzalez,High Net Worth,750,Low,6,2024,WA
201,CUST000201,Wei,Hernandez,Mass Market,694,Medium,32,2023,AZ
202,CUST000202,Emma,Williams,Small Business,764,Low,16,2015,IL
203,CUST000203,Isabella,Williams,Mass Market,723,Medium,28,2018,CA
204,CUST000204,Ahmed,Garcia,Mass Market,693,Medium,20,2016,NY
205,CUST000205,Maria,Johnson,Affluent,720,Medium,19,2015,WA
206,CUST000206,Priya,Jones,Affluent,823,Low,16,2020,AZ
207,CUST000207,Noah,Ali,Mass Market,682,Medium,12,2021,TX
208,CUST000208,John,Singh,Affluent,783,Low,25,2017,NC
209,CUST000209,Sofia,Chen,Mass Market,678,Medium,10,2018,FL
210,CUST000210,Lucas,Rodriguez,Mass Market,595,High,30,2022,IL
211,CUST000211,Mei,Anderson,Mass Market,556,High,19,2015,AZ
212,CUST000212,John,Anderson,Affluent,756,Low,23,2017,NC
213,CUST000213,Lucas,Wilson,Affluent,773,Low,17,2019,MA
214,CUST000214,Michael,Gonzalez,Mass Market,793,Low,31,2019,CA
215,CUST000215,Wei,Chen,Small Business,705,Medium,23,2018,NC
216,CUST000216,Ethan,Martinez,Affluent,727,Medium,2,2019,GA
217,CUST000217,James,Chen,Small Business,726,Medium,4,2019,NC
218,CUST000218,Elizabeth,Davis,Mass Market,613,High,39,2022,WA
219,CUST000219,Lucas,Miller,Small Business,725,Medium,40,2018,IL
220,CUST000220,Lucas,Brown,Mass Market,709,Medium,3,2017,IL
221,CUST000221,Mary,Chen,Mass Market,682,Medium,24,2022,TX
222,CUST000222,Elizabeth,Hernandez,High Net Worth,778,Low,27,2016,TX
223,CUST000223,Robert,Kim,Affluent,808,Low,24,2018,AZ
224,CUST000224,David,Garcia,Small Business,727,Medium,17,2023,MA
225,CUST000225,Isabella,Hernandez,Affluent,725,Medium,8,2019,MA
226,CUST000226,Robert,Davis,Mass Market,578,High,26,2016,AZ
227,CUST000227,John,Gonzalez,Small Business,634,High,1,2020,IL
228,CUST000228,Patricia,Anderson,Affluent,764,Low,24,2023,IL
229,CUST000229,Wei,Khan,Mass Market,632,High,24,2024,CA
230,CUST000230,Sofia,Smith,Affluent,726,Medium,40,2018,AZ
231,CUST000231,Emma,Davis,Mass Market,698,Medium,5,2020,MA
232,CUST000232,Lucas,Wilson,Affluent,809,Low,8,2019,TX
233,CUST000233,Mary,Martinez,Mass Market,761,Low,32,2015,CA
234,CUST000234,Linda,Kim,Mass Market,701,Medium,9,2016,GA
235,CUST000235,Jose,Ali,Mass Market,794,Low,35,2022,GA
236,CUST000236,Isabella,Cook,Mass Market,751,Low,10,2024,GA
237,CUST000237,Sofia,Singh,Mass Market,568,High,27,2016,IL
238,CUST000238,Ethan,Lopez,Mass Market,791,Low,14,2015,MA
239,CUST000239,Linda,Lopez,High Net Worth,787,Low,7,2022,WA
240,CUST000240,Lucas,Lopez,Affluent,642,High,4,2023,GA
241,CUST000241,Michael,Brown,Mass Market,758,Low,30,2019,CA
242,CUST000242,Lucas,Khan,Small Business,728,Medium,39,2018,NY
243,CUST000243,Mei,Hernandez,Mass Market,688,Medium,16,2015,TX
244,CUST000244,Michael,Williams,Mass Market,745,Low,36,2024,FL
245,CUST000245,Michael,Davis,Mass Market,689,Medium,22,2024,TX
246,CUST000246,James,Rodriguez,Mass Market,718,Medium,10,2024,TX
247,CUST000247,David,Garcia,Affluent,734,Medium,8,2023,NY
248,CUST000248,James,Lopez,Mass Market,684,Medium,16,2017,NC
249,CUST000249,James,Garcia,Mass Market,612,High,17,2020,NY
250,CUST000250,Isabella,Wilson,Mass Market,724,Medium,34,2017,CA
251,CUST000251,Sofia,Anderson,High Net Worth,850,Low,24,2016,AZ
252,CUST000252,Patricia,Anderson,Mass Market,667,Medium,33,2024,FL
253,CUST000253,Mary,Cook,Mass Market,632,High,34,2024,IL
254,CUST000254,Lucas,Smith,Mass Market,650,High,4,2022,MA
255,CUST000255,Priya,Ali,Mass Market,589,High,7,2021,MA
256,CUST000256,John,Williams,Mass Market,676,Medium,21,2022,NC
257,CUST000257,John,Jones,Mass Market,682,Medium,18,2017,NC
258,CUST000258,Olivia,Murphy,Affluent,741,Low,21,2024,GA
259,CUST000259,Liam,Martinez,Affluent,778,Low,30,2024,AZ
260,CUST000260,Priya,Brown,Affluent,712,Medium,8,2024,AZ
261,CUST000261,Priya,Anderson,Mass Market,651,High,15,2018,GA
262,CUST000262,Ahmed,Gonzalez,Mass Market,604,High,27,2020,CA
263,CUST000263,Priya,Hernandez,Mass Market,646,High,17,2020,WA
264,CUST000264,Ava,Patel,Affluent,641,High,5,2017,CA
265,CUST000265,John,Wilson,Mass Market,749,Low,7,2016,WA
266,CUST000266,Olivia,Johnson,High Net Worth,745,Low,38,2017,AZ
267,CUST000267,Maria,Ali,Mass Market,621,High,8,2023,GA
268,CUST000268,Ava,Wilson,Mass Market,695,Medium,4,2020,IL
269,CUST000269,Elizabeth,Lopez,Mass Market,633,High,7,2024,NC
270,CUST000270,Michael,Jones,Mass Market,626,High,31,2023,FL
271,CUST000271,Jose,Kim,Mass Market,615,High,24,2016,CA
272,CUST000272,Noah,Davis,Mass Market,644,High,28,2019,AZ
273,CUST000273,Emma,Ali,Mass Market,705,Medium,36,2024,NY
274,CUST000274,Ava,Murphy,Affluent,780,Low,18,2024,NY
275,CUST000275,David,Murphy,Affluent,700,Medium,20,2017,WA
276,CUST000276,James,Garcia,Mass Market,689,Medium,10,2020,NC
277,CUST000277,John,Jones,Mass Market,659,High,2,2021,CA
278,CUST000278,Michael,Gonzalez,Mass Market,800,Low,27,2023,MA
279,CUST000279,Jennifer,Lopez,Mass Market,787,Low,20,2020,WA
280,CUST000280,Emma,Williams,Mass Market,598,High,4,2024,TX
281,CUST000281,Raj,Singh,Mass Market,691,Medium,4,2017,CA
282,CUST000282,Ahmed,Ali,Mass Market,698,Medium,28,2019,MA
283,CUST000283,Ahmed,Wilson,Mass Market,657,High,18,2024,FL
284,CUST000284,Patricia,Lopez,Mass Market,646,High,28,2023,CA
285,CUST000285,Ava,Ali,Mass Market,631,High,38,2019,MA
286,CUST000286,Ava,Martinez,High Net Worth,760,Low,3,2023,FL
287,CUST000287,Emma,Johnson,Mass Market,514,High,1,2021,FL
288,CUST000288,Michael,Jones,Small Business,747,Low,17,2019,IL
289,CUST000289,Patricia,Smith,Mass Market,717,Medium,32,2020,GA
290,CUST000290,Robert,Gonzalez,High Net Worth,777,Low,35,2017,FL
291,CUST000291,Olivia,Ali,Affluent,707,Medium,23,2023,CA
292,CUST000292,Isabella,Johnson,Affluent,716,Medium,28,2021,NY
293,CUST000293,John,Hernandez,Small Business,822,Low,37,2022,GA
294,CUST000294,Wei,Murphy,Mass Market,803,Low,27,2024,IL
295,CUST000295,Wei,Smith,Affluent,714,Medium,21,2016,TX
296,CUST000296,Ahmed,Murphy,Mass Market,619,High,24,2024,CA
297,CUST000297,Patricia,Davis,Mass Market,657,High,28,2021,NC
298,CUST000298,Liam,Williams,Mass Market,668,Medium,26,2021,IL
299,CUST000299,Linda,Hernandez,Mass Market,610,High,11,2020,CA
300,CUST000300,Lucas,Brown,Mass Market,708,Medium,34,2023,AZ
301,CUST000301,Raj,Lopez,Mass Market,679,Medium,23,2018,TX
302,CUST000302,Patricia,Jones,Mass Market,661,Medium,17,2018,FL
303,CUST000303,Emma,Jones,Mass Market,647,High,5,2017,TX
304,CUST000304,Ahmed,Chen,Affluent,774,Low,38,2022,MA
305,CUST000305,Lucas,Khan,Affluent,707,Medium,40,2024,WA
306,CUST000306,Robert,Anderson,Mass Market,850,Low,5,2020,MA
307,CUST000307,Lucas,Martinez,Mass Market,701,Medium,18,2022,NC
308,CUST000308,Jose,Nguyen,Mass Market,696,Medium,5,2015,IL
309,CUST000309,Ahmed,Johnson,Mass Market,724,Medium,4,2022,WA
310,CUST000310,John,Khan,Affluent,811,Low,6,2019,NC
311,CUST000311,Liam,Gonzalez,Mass Market,648,High,30,2024,NC
312,CUST000312,Mei,Cook,Mass Market,731,Medium,3,2023,MA
313,CUST000313,Lucas,Miller,Mass Market,728,Medium,21,2024,NC
314,CUST000314,Liam,Jones,Mass Market,762,Low,4,2022,MA
315,CUST000315,Mei,Hernandez,Mass Market,671,Medium,6,2016,AZ
316,CUST000316,Mary,Davis,Affluent,782,Low,29,2017,MA
317,CUST000317,Liam,Singh,Mass Market,642,High,11,2023,WA
318,CUST000318,Elizabeth,Gonzalez,Mass Market,533,High,27,2020,WA
319,CUST000319,Mary,Khan,Affluent,668,Medium,22,2024,CA
320,CUST000320,Patricia,Kim,High Net Worth,780,Low,25,2020,IL
321,CUST000321,Isabella,Ali,Mass Market,752,Low,39,2019,TX
322,CUST000322,John,Chen,Affluent,744,Low,10,2020,WA
323,CUST000323,Lucas,Murphy,Mass Market,701,Medium,26,2019,TX
324,CUST000324,Ethan,Williams,Mass Market,729,Medium,20,2024,AZ
325,CUST000325,Lucas,Hernandez,Mass Market,725,Medium,9,2021,AZ
326,CUST000326,Lucas,Ali,Mass Market,777,Low,28,2016,AZ
327,CUST000327,James,Lopez,High Net Worth,762,Low,20,2020,TX
328,CUST000328,Maria,Patel,Mass Market,718,Medium,13,2018,FL
329,CUST000329,Robert,Williams,Mass Market,795,Low,19,2017,CA
330,CUST000330,Raj,Kim,High Net Worth,794,Low,34,2023,NY
331,CUST000331,Raj,Singh,Mass Market,780,Low,9,2020,NC
332,CUST000332,Robert,Garcia,Mass Market,658,High,12,2021,NC
333,CUST000333,Isabella,Anderson,Mass Market,757,Low,3,2017,GA
334,CUST000334,Ava,Cook,Affluent,783,Low,16,2020,MA
335,CUST000335,Elizabeth,Cook,Affluent,666,Medium,29,2024,FL
336,CUST000336,Linda,Martinez,Mass Market,709,Medium,31,2023,FL
337,CUST000337,Ava,Chen,Mass Market,701,Medium,29,2020,MA
338,CUST000338,Raj,Gonzalez,Mass Market,748,Low,33,2019,AZ
339,CUST000339,Jennifer,Miller,Mass Market,702,Medium,39,2021,TX
340,CUST000340,Mary,Khan,Mass Market,850,Low,31,2019,WA
341,CUST000341,Patricia,Murphy,Mass Market,814,Low,34,2023,CA
342,CUST000342,John,Garcia,Small Business,742,Low,18,2019,MA
343,CUST000343,Robert,Wilson,Affluent,751,Low,6,2023,FL
344,CUST000344,Jose,Smith,Mass Market,610,High,27,2022,NY
345,CUST000345,Liam,Lopez,Mass Market,702,Medium,16,2021,GA
346,CUST000346,Jose,Davis,Small Business,715,Medium,2,2016,WA
347,CUST000347,Ethan,Khan,Mass Market,850,Low,22,2016,TX
348,CUST000348,Mary,Martinez,Mass Market,726,Medium,31,2017,TX
349,CUST000349,Ahmed,Singh,Mass Market,764,Low,1,2022,CA
350,CUST000350,David,Miller,Mass Market,649,High,10,2015,AZ
351,CUST000351,Liam,Wilson,Mass Market,749,Low,8,2024,IL
352,CUST000352,Elizabeth,Brown,High Net Worth,698,Medium,4,2018,FL
353,CUST000353,Lucas,Singh,Mass Market,778,Low,30,2021,CA
354,CUST000354,Sofia,Singh,Mass Market,632,High,35,2016,NY
355,CUST000355,Noah,Davis,Mass Market,611,High,10,2023,IL
356,CUST000356,James,Singh,Mass Market,679,Medium,23,2021,FL
357,CUST000357,Priya,Garcia,Mass Market,746,Low,6,2024,AZ
358,CUST000358,John,Nguyen,Mass Market,678,Medium,35,2020,AZ
359,CUST000359,Olivia,Smith,Mass Market,618,High,25,2023,MA
360,CUST000360,Lucas,Gonzalez,Small Business,738,Medium,24,2015,IL
361,CUST000361,Jose,Williams,Mass Market,634,High,23,2015,FL
362,CUST000362,Raj,Chen,Small Business,700,Medium,22,2016,TX
363,CUST000363,Jose,Kim,Mass Market,642,High,22,2015,TX
364,CUST000364,Ethan,Patel,Affluent,746,Low,12,2022,TX
365,CUST000365,Ethan,Anderson,Mass Market,681,Medium,3,2016,IL
366,CUST000366,Mary,Miller,Mass Market,700,Medium,3,2018,WA
367,CUST000367,Liam,Gonzalez,Mass Market,850,Low,35,2019,MA
368,CUST000368,Mary,Khan,Mass Market,612,High,13,2019,IL
369,CUST000369,Raj,Johnson,Affluent,802,Low,22,2020,IL
370,CUST000370,Mei,Lopez,Mass Market,503,High,28,2016,GA
371,CUST000371,Wei,Hernandez,Mass Market,607,High,12,2022,MA
372,CUST000372,Jose,Nguyen,Mass Market,704,Medium,18,2022,CA
373,CUST000373,John,Wilson,High Net Worth,774,Low,39,2021,TX
374,CUST000374,Elizabeth,Hernandez,Mass Market,726,Medium,7,2023,CA
375,CUST000375,Ava,Martinez,Affluent,723,Medium,20,2020,MA
376,CUST000376,Ethan,Wilson,Mass Market,685,Medium,11,2024,MA
377,CUST000377,Ahmed,Johnson,Affluent,735,Medium,23,2020,NC
378,CUST000378,David,Khan,Mass Market,692,Medium,4,2021,CA
379,CUST000379,Jose,Nguyen,Mass Market,696,Medium,11,2021,NY
380,CUST000380,Emma,Ali,Mass Market,680,Medium,29,2017,NY
381,CUST000381,John,Davis,Affluent,724,Medium,24,2017,WA
382,CUST000382,Noah,Johnson,Mass Market,673,Medium,39,2021,TX
383,CUST000383,Jose,Lopez,Affluent,750,Low,29,2022,CA
384,CUST000384,Robert,Nguyen,Mass Market,707,Medium,24,2024,GA
385,CUST000385,Lucas,Rodriguez,Affluent,710,Medium,16,2020,CA
